[5/7/2021] [3:43:23] alan_br IP:142.93.156.29 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] alan_br IP:142.93.156.29 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] Black_Txt IP:170.247.36.40 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] Black_Txt IP:170.247.36.40 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] Black_Txt IP:170.247.36.40 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] magnata_p1 IP:45.230.225.190 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] magnata_p1 IP:45.230.225.190 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] magnata_p1 IP:45.230.225.190 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] magnata_p1 IP:45.230.225.190 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] Alisson_Samp IP:200.39.45.13 foi banido pelo admin Riquelme_Emanuel, motivo: HACK
[5/7/2021] [3:43:23] twokil IP:186.194.146.18 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] twokil IP:186.194.146.18 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] twokil IP:186.194.146.18 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] twokil IP:186.194.146.18 foi banido pelo admin Automático, motivo: Car Spam
[5/7/2021] [3:43:23] twokil IP:186.194.146.18 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] JOANA IP:179.191.50.12 foi banido pelo admin Automático, motivo: Xiter Velocidade
[7/7/2021] [12:5:31] Lucas_cvtlg IP:190.180.172.239 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Lucas_cvtlg IP:190.180.172.239 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Lucas_cvtlg IP:190.180.172.239 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Lucas_cvtlg IP:190.180.172.239 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Gefin_DAboca IP:200.6.140.41 foi banido pelo admin Vgzinn, motivo: ok
[7/7/2021] [12:5:31] Riquelme_Emanuel IP:189.106.222.135 foi banido pelo admin Vgzinn, motivo: mama
[7/7/2021] [12:5:31] Moreno_DAboca IP:186.240.154.68 foi banido pelo admin Vgzinn, motivo: ja vai tmb
[7/7/2021] [12:5:31] lrineu_aguiar IP:179.106.42.209 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Dejax_ IP:189.51.218.125 foi banido pelo admin Vgzinn, motivo: .
[7/7/2021] [12:5:31] TWJOKER IP:45.191.252.39 foi banido pelo admin Vgzinn, motivo: ok
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Marcio_Junior IP:177.22.33.35 foi banido pelo admin Automático, motivo: Car Spam
[7/7/2021] [12:5:31] Felipe_SG IP:186.211.107.74 foi banido pelo admin Vgzinn, motivo: RACISTA NAO
